name;index;industry;sector;pca_0;pca_1;pca_2
Samsung E&A Co., Ltd.;028050;Engineering & Construction;Industrials;0.21918276004686044;0.179573480967151;-0.27207472138674343
Hankook Steel Co., Ltd.;025890;Steel;Basic Materials;0.12249012095551415;-0.03252176078871874;-0.034623332073520884
Taeyang Metal Industrial Co., Ltd.;004100;Auto Parts;Consumer Cyclical;0.12821940723765318;0.15273352729762205;0.005243585519260199
KB Financial Group Inc.;105560;Banks - Regional;Financial Services;0.2969645828759516;-0.2263818876118287;0.0076281508484064234
Seong An Materials Co.,Ltd;011300;Textile Manufacturing;Consumer Cyclical;0.15217509504127813;0.08918173386399839;-0.061083506005585785
Ilyang Pharmaceutical Co.,Ltd;007570;Drug Manufacturers - Specialty & Generic;Healthcare;0.01507260766407792;0.10820198433368824;-0.12411872047850522
KR Motors Co., Ltd.;000040;Recreational Vehicles;Consumer Cyclical;0.12738630366527653;0.2117051458931178;-0.0005100530949467101
Hyundai G.F. Holdings Co., Ltd.;005440;Food Distribution;Consumer Defensive;0.17873407282961562;-0.12839045407207594;-0.016675463303863852
The Willbes & CO., Ltd.;008600;Apparel Manufacturing;Consumer Cyclical;0.10484105823053447;0.14555788099130149;0.022607855161732252
Samjin Pharmaceuticals Co., Ltd.;005500;Drug Manufacturers - Specialty & Generic;Healthcare;0.11215721147624641;0.06743624441872961;0.011020765466290619
Kukdong Oil & Chemicals Co.,Ltd;014530;Specialty Chemicals;Basic Materials;0.3219663841135665;-0.2320151400700754;0.1925562113312117
Hanwha Investment & Securities Co., Ltd.;003535;Capital Markets;Financial Services;0.24210146791627696;0.00688128220873907;-0.033076180746143755
Kyungdong Invest Co., Ltd;012320;Utilities - Regulated Gas;Utilities;0.29800477937940384;-0.23849226327583714;0.2865596618140764
SG Corporation;004060;Apparel Manufacturing;Consumer Cyclical;0.12673709558472962;0.1729600497754338;-0.13016118664575338
Whan In Pharm Co.,Ltd.;016580;Drug Manufacturers - Specialty & Generic;Healthcare;0.12355880847394579;-0.02735988898224523;0.16857787705357438
Dongbang Transport Logistics Co., Ltd.;004140;Integrated Freight & Logistics;Industrials;0.11292916034398653;0.22289717262415829;-0.12707749865458035
Boryung Corporation;003850;Drug Manufacturers - Specialty & Generic;Healthcare;0.07830490100094406;0.06991937278871072;-0.06962794893143132
Tailim Packaging Co., Ltd.;011280;Packaging & Containers;Consumer Cyclical;0.09669409885232433;0.01909972278012062;0.01076279945660263
Kyungin Synthetic Co., Ltd.;012610;Chemicals;Basic Materials;0.18358360310952992;0.09936857128002871;0.013206742870547792
Bolak Company Limited;002760;Specialty Chemicals;Basic Materials;0.12478991544175017;0.12254842665455332;-0.01808035426821314
TYM Corporation;002900;Farm & Heavy Construction Machinery;Industrials;0.23487071734605514;0.03508963339629975;-0.07859836573513071
Yungjin Pharm. Co., Ltd.;003520;Drug Manufacturers - Specialty & Generic;Healthcare;0.12932524700743048;0.35261001110542123;-0.07948807617706286
Moorim Paper Co., Ltd.;009200;Paper & Paper Products;Basic Materials;0.25638454988325265;-0.18141033368378381;0.11845207077923772
SeAH Besteel Holdings Corporation;001430;Steel;Basic Materials;0.14790365993539178;-0.011804888057153351;-0.10023095797800527
Lotte Non - Life Insurance Co., Ltd.;000400;Insurance - Property & Casualty;Financial Services;0.3114551890425109;-0.25061326780519766;0.05721132100832759
SK Securities Co., Ltd.;001515;Asset Management;Financial Services;0.18185379470241436;0.06693653618823728;-0.021730797943835915
TS Corporation;001790;Confectioners;Consumer Defensive;0.23527879032681787;-0.1274588056758434;0.08128389134481995
CITECH Co., Ltd.;004920;Information Technology Services;Technology;0.009726378000171565;0.34360379210918135;0.06632050768238201
LOTTE Corporation;004990;Confectioners;Consumer Defensive;0.332768359693966;-0.2690935810585219;0.25473348558573605
Kyung Dong Navien Co., Ltd.;009450;Specialty Industrial Machinery;Industrials;0.1303635451062331;0.06694442113682161;0.12327054456927672
HANDSOME Corporation;020000;Apparel Manufacturing;Consumer Cyclical;0.16842419178218127;-0.1938071565861012;-0.02954926977621622
Hyundai Pharmaceutical Co., Ltd.;004310;Drug Manufacturers - Specialty & Generic;Healthcare;0.0809460881895323;0.09304036270767582;0.011980645928101226
CROWNHAITAI Holdings Co.,Ltd.;005740;Confectioners;Consumer Defensive;0.16253384718413366;0.2009622568454297;-0.007804367665129149
ENEX Co., LTD.;011090;Furnishings, Fixtures & Appliances;Consumer Cyclical;0.12537872678287632;0.40522428099891583;0.10246037210295378
SK hynix Inc.;000660;Semiconductors;Technology;0.11291874454628092;0.05075193388603991;-0.24145353009780748
AK Holdings, Inc.;006840;Chemicals;Basic Materials;0.08410102609786563;0.010874426962344974;-0.08419087721692958
Daewon Cable. Co., Ltd.;006340;Electrical Equipment & Parts;Industrials;0.14230897089459138;0.21184804032969803;-0.13076153282437847
DAEWON Chemical Co., Ltd.;024890;Specialty Chemicals;Basic Materials;0.1021183552502622;0.1438522852433111;0.01389825108957899
DRB Holding Co., Ltd.;004840;Auto Parts;Consumer Cyclical;0.1500617288003141;0.03214822547619131;-0.013731533241923208
SH Energy & Chemical Co., Ltd.;002360;Chemicals;Basic Materials;0.17483414792559215;0.1252317110321167;-0.06341691767927543
BNK Financial Group Inc.;138930;Banks - Regional;Financial Services;0.24992872180905268;-0.1746708846848639;-0.1602839309071185
SUN&L Co., Ltd.;002820;Lumber & Wood Production;Basic Materials;0.20756883109897661;0.17070484389527932;0.08152175224793604
Kolmar Holdings Co.,Ltd.;024720;Household & Personal Products;Consumer Defensive;0.042499484435546686;0.16208830550966238;-0.18956841532813923
HMM Co.,Ltd;011200;Marine Shipping;Industrials;0.13661524061415986;0.49977051084377155;-0.014747333853639875
Duckyang Ind. Co., Ltd.;024900;Auto Parts;Consumer Cyclical;0.11357706708208326;0.07179828825394505;0.01820347924977063
